sender,type,content,date,timestamp
男,text,おはよう！今日も一日頑張ろう,2024/06/15,08:00
女,text,おはようございます！お疲れ様です,2024/06/15,08:02
男,text,今日の会議の資料、確認してもらえる？,2024/06/15,08:05
女,text,はい、確認します。少しお時間ください,2024/06/15,08:07
女,text,資料を確認しました。とても分かりやすくまとまっていますね,2024/06/15,09:15
男,text,ありがとう！何か気になる点があったら教えて,2024/06/15,09:17
女,text,3ページ目のグラフについて少し質問があります,2024/06/15,09:20
電話,15:32,2024/06/15,09:25
男,text,電話ありがとう。詳しく説明してもらえて助かった,2024/06/15,09:45
女,text,こちらこそ、お忙しい中お時間いただきありがとうございました,2024/06/15,09:47
男,text,お疲れ様でした！また何かあったら連絡します,2024/06/15,10:00
女,text,はい、よろしくお願いします。お疲れ様でした！,2024/06/15,10:02